response_id,config,post_index,true_label,predicted,full_answer,retrieved_chunks,c2_relevant,c2_note,c3_relevant,c3_note
Phase 1: Best Retriever-BM25-10,BM25,10,depression,depression,"Label: depression
Evidence: [3] (Recurrent depressive disorder — Essential Features) says: ""A history of at least two depressive episodes (see above essential features), which may include a current episode, separated by several months without significant mood disturbance is required for diagnosis. ...""
Justification: The post mentions feelings of being trapped, constant stress, and a desire to ""melt away,"" which are consistent with depressive symptoms. The mention of ""depression/borderline flaring up"" and the inability to sleep further supports the diagnosis of depression.",[1] EP.HYP_essential_features_p1 || [2] EP.HYP_boundary_with_normality_p1 || [3] 6A71_essential_features_p1 || [4] EP.HYP_essential_features_p2 || [5] EP.MAN_essential_features_p2 || [6] EP.MAN_boundary_with_normality_p1 || [7] 6A7Y_essential_features_p1 || [8] 6A72_essential_features_p1 || [9] 6A72_boundary_with_normality_p1 || [10] 6A72_essential_features_p2 || [11] EP.MAN_essential_features_p1 || [12] EP.MAN_essential_features_p3,,,,
Phase 1: Best Retriever-BM25-11,BM25,11,depression,depression,"Label: depression
Evidence: [1] (Dysthymic disorder — Essential Features): • Persistent depressed mood (i.e. lasting 2 years or more), for most of the day, for more days than not, as reported by the individual (e.g. feeling down, sad) or as observed (e.g. tearful, defeated appearance), is required for diagnosis. In children and adolescents depressed mood can manifest as pervasive irritability. • The depressed mood is accompanied by additional symptoms typically seen in a depressive episode, though these may be milder in form. Examples include: • markedly diminished interest or pleasure in activities • reduced concentration and attention, or indecisiveness • low self-worth, or excessive or inappropriate guilt • hopelessness about the future • disturbed sleep or increased sleep • diminished or increased appetite • low energy or fatigue. • During the first 2 years of the disorder, there has never been a 2-week period during which the number and duration of symptoms were su&cient to meet the diagnostic requirements for a depressive episode. • While brief symptom-free intervals during the period of persistent depressed mood are consistent with the diagnosis, there have never been any prolonged symptom-free periods (e.g. lasting 2 months or more) since the onset of the disorder. • There is no history of manic, mixed or hypomanic episodes, which would indicate the presence of a bipolar or related disorder. • The symptoms are not a manifestation
Justification: The post mentions struggling with depression and questioning one's identity, which aligns with the essential features of dysthymic disorder, including persistent depressed mood and additional symptoms such as reduced interest in activities and hopelessness. The mention of writing a song to express oneself and the awareness that it is not supposed to be done further supports the diagnosis of depression.",[1] 6A72_essential_features_p1 || [2] 6A72_boundary_with_normality_p1 || [3] 6A62_essential_features_p1 || [4] 6A62_boundary_with_normality_p1 || [5] EP.MIX_essential_features_p1 || [6] EP.HYP_essential_features_p1 || [7] EP.HYP_boundary_with_normality_p1 || [8] 6A73_essential_features_p1 || [9] 6A73_boundary_with_normality_p1 || [10] EP.HYP_essential_features_p2 || [11] 6A72_essential_features_p2,,,,
Phase 1: Best Retriever-BM25-12,BM25,12,depression,suicidal,"Label: suicidal
Evidence: [1] says: ""Recurrent suicidal ideation (with or without a specific plan), or evidence of attempted suicide""
Justification: The post contains the statement ""I will not be remembered for anything and Ill die as nothing ="", which implies a suicidal ideation. The ICD-11 chunk [1] mentions recurrent suicidal ideation with or without a specific plan, which connects to the post.",[1] EP.DEP_essential_features_p1 || [2] EP.DEP_boundary_with_normality_p1,,,,
Phase 1: Best Retriever-BM25-13,BM25,13,depression,suicidal,"Label: suicidal
Evidence: [10] (Depressive episode — Boundary with Normality) says: ""A prior history of depressive disorder or bipolar disorder is important to consider in making this distinction.""
Justification: The post contains a statement that reflects suicidal ideation (""Would have made everyone happier had I just died do not mind me, just a pathetic idiot no one cares about"") which aligns with the ICD-11 criteria for a depressive episode involving suicidal ideation. The mention of suicidal ideation, combined with the context of the post, supports the classification as suicidal.",[1] EP.DEP_essential_features_p1 || [2] EP.DEP_boundary_with_normality_p1 || [3] 6A72_boundary_with_normality_p1 || [4] 6A72_essential_features_p1 || [5] EP.HYP_essential_features_p1 || [6] EP.HYP_boundary_with_normality_p1 || [7] 6A71_essential_features_p1 || [8] 6A70_essential_features_p1 || [9] 6A72_essential_features_p2 || [10] EP.DEP_boundary_with_normality_p2 || [11] EP.HYP_essential_features_p2,,,,
Phase 1: Best Retriever-BM25-14,BM25,14,depression,depression,"Label: <depression>
Evidence: <ICD-11 chunk [3] says: ""The presence of both depressive and anxiety symptoms for most of the time during a period of 2 weeks or more is required for diagnosis. Mood disorders 259 • Depressive symptoms include depressed mood or markedly diminished interest or pleasure in activities. • There are multiple anxiety symptoms, which may include feeling nervous, anxious or on edge, not being able to control worrying thoughts, fear that something awful will happen, having trouble relaxing, muscle tension or sympathetic autonomic symptoms. • Neither the depressive nor the anxiety symptoms – considered separately – are su&ciently severe, numerous or lasting to meet the diagnostic requirements of another depressive disorder or an anxiety or fear-related disorder."">
Justification: <The post expresses intense anxiety about the mother's surgery and a sense of despair regarding her situation. The depressive symptoms mentioned in ICD-11 chunk [3] include ""depressed mood"" and ""markedly diminished interest or pleasure in activities,"" which align with the emotional state described in the post. The anxiety symptoms also align with the criteria for a mixed depressive and anxiety disorder, as the post includes both emotional distress and a sense of hopelessness. The evidence from ICD-11 chunk [3] supports the diagnosis of depression based on the presence of both depressive and anxiety symptoms.>",[1] EP.HYP_essential_features_p1 || [2] EP.HYP_boundary_with_normality_p1 || [3] 6A73_essential_features_p1 || [4] 6A73_boundary_with_normality_p1,,,,
Phase 1: Best Retriever-BM25-15,BM25,15,depression,suicidal,"Label: suicidal|depression
Evidence: ICD-11 chunk [10] says: ""The symptoms and behaviours are not a manifestation of another mental, behavioural or neurodevelopmental disorder (e.g. schizophrenia or another primary psychotic disorder, an anxiety or fear-related disorder, a disorder specifically associated with stress). The symptoms and behaviours are not a manifestation of another medical condition, and are not due to the effects of a substance or medication (e.g. alcohol, benzodiazepine) on the central nervous system, including withdrawal effects (e.g. from stimulants). The symptoms result in significant distress or significant impairment in personal, family, social, educational, occupational or other important areas of functioning. If functioning is maintained, it is only through significant additional effort.""
Justification: The post describes a sense of hopelessness, lack of motivation, and a belief that life has no meaning, which aligns with the criteria for depression. The mention of suicidal ideation and the belief that ""there is only three truths in this world"" suggests a severe depressive state. The evidence from ICD-11 chunk [10] supports the diagnosis of depression, as the symptoms are not better accounted for by other disorders or medical conditions, and they result in significant impairment.",[1] EP.DEP_essential_features_p1 || [2] EP.DEP_boundary_with_normality_p1 || [3] 6A73_essential_features_p1 || [4] 6A73_boundary_with_normality_p1 || [5] 6A72_essential_features_p1 || [6] 6A72_boundary_with_normality_p1 || [7] EP.MAN_essential_features_p1 || [8] EP.MAN_boundary_with_normality_p1 || [9] EP.DEP_boundary_with_normality_p2 || [10] 6A7Y_essential_features_p1 || [11] EP.DEP_essential_features_p2,,,,
Phase 1: Best Retriever-BM25-16,BM25,16,depression,depression,"Label: depression
Evidence: [7] (Depressive episode — Essential Features): • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or absence of symptoms should be made relative to typical functioning of the individual. Affective cluster • Depressed mood as reported by the individual (e.g. feeling down, sad) or as observed (e.g. tearful, defeated appearance) (Note: in children and adolescents depressed mood can manifest as irritability.) • Markedly diminished interest or pleasure in activities, especially those normally found to be enjoyable to the individual (Note: this may include a reduction in sexual desire.) Cognitive-behavioural cluster • Reduced ability to concentrate and sustain attention on tasks, or marked indecisiveness • Beliefs of low self-worth or excessive and inappropriate guilt that may be manifestly delusional (Note: this item should not be considered present if guilt or self-reproach is exclusively about being depressed.) • Hopelessness about the future • Recurrent thoughts of death (not just fear of dying), recurrent suicidal ideation (with or without a specific plan), or evidence of attempted suicide
Justification: The post describes persistent feelings of loneliness, attachment, jealousy, and sadness, which align with the diagnostic criteria for a depressive episode. The individual exhibits marked diminished interest in activities, recurrent thoughts of death, and evidence of attempted suicide, all of which are consistent with the essential features of a depressive episode as outlined in ICD-11.",[1] EP.HYP_essential_features_p1 || [2] EP.HYP_boundary_with_normality_p1 || [3] EP.HYP_essential_features_p2 || [4] EP.MAN_essential_features_p2 || [5] EP.MAN_boundary_with_normality_p1 || [6] EP.DEP_boundary_with_normality_p2 || [7] EP.DEP_essential_features_p1 || [8] EP.MAN_essential_features_p1 || [9] EP.MIX_essential_features_p1 || [10] EP.DEP_boundary_with_normality_p1 || [11] 6A72_essential_features_p1 || [12] 6A72_boundary_with_normality_p1 || [13] EP.DEP_essential_features_p2 || [14] EP.MAN_essential_features_p3 || [15] EP.MIX_essential_features_p2 || [16] 6A72_essential_features_p2,,,,
Phase 1: Best Retriever-BM25-17,BM25,17,depression,depression,"Label: depression
Evidence: [3] (Depressive episode — Essential Features) • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or absence of symptoms should be made relative to typical functioning of the individual. Affective cluster • Depressed mood as reported by the individual (e.g. feeling down, sad) or as observed (e.g. tearful, defeated appearance) (Note: in children and adolescents depressed mood can manifest as irritability.) • Markedly diminished interest or pleasure in activities, especially those normally found to be enjoyable to the individual (Note: this may include a reduction in sexual desire.) Cognitive-beavioural cluster • Reduced ability to concentrate and sustain attention on tasks, or marked indecisiveness • Beliefs of low self-worth or excessive and inappropriate guilt that may be manifestly delusional (Note: this item should not be considered present if guilt or self-reproach is exclusively about being depressed.) • Hopelessness about the future • Recurrent thoughts of death (not just fear of dying), recurrent suicidal ideation (with or without a specific plan), or evidence of attempted suicide
Justification: The post mentions recurring suicidal thoughts, a belief that harming others is a concern, and a history of depression. These symptoms align with the essential features of a depressive episode, particularly the presence of recurrent suicidal ideation and a marked decrease in interest in activities, which are key indicators of depression.",[1] EP.HYP_essential_features_p1 || [2] EP.HYP_boundary_with_normality_p1 || [3] EP.DEP_essential_features_p1 || [4] EP.DEP_boundary_with_normality_p1 || [5] EP.DEP_boundary_with_normality_p2 || [6] 6A72_essential_features_p1 || [7] 6A72_boundary_with_normality_p1 || [8] EP.HYP_essential_features_p2 || [9] EP.MIX_essential_features_p1 || [10] EP.MAN_essential_features_p3 || [11] EP.MAN_boundary_with_normality_p1 || [12] EP.DEP_essential_features_p2 || [13] EP.HYP_essential_features_p3 || [14] EP.MAN_essential_features_p1 || [15] EP.MIX_essential_features_p2 || [16] EP.MAN_essential_features_p2,,,,
Phase 1: Best Retriever-BM25-18,BM25,18,depression,normal,"Label: normal
Evidence: ICD-11 chunk [7] says: ""Persistent depressed mood (i.e. lasting 2 years or more), for most of the day, for more days than not, as reported by the individual (e.g. feeling down, sad) or as observed (e.g. tearful, defeated appearance), is required for diagnosis.""
Justification: The post does not indicate any depressive symptoms or mood disturbances. It describes a positive and enjoyable experience of laughing and smiling, which is consistent with normal social behavior. The mention of ""like the real laugh, from the heart"" and the context of it being ""stupid but feel so good"" does not align with the criteria for depression or mood disorders as outlined in the ICD-11 chunks.",[1] EP.HYP_essential_features_p1 || [2] EP.HYP_boundary_with_normality_p1 || [3] 6A73_essential_features_p1 || [4] 6A73_boundary_with_normality_p1 || [5] EP.MAN_essential_features_p1 || [6] EP.MAN_boundary_with_normality_p1 || [7] 6A72_essential_features_p1 || [8] 6A72_boundary_with_normality_p1 || [9] 6A62_essential_features_p1 || [10] 6A62_boundary_with_normality_p1 || [11] EP.HYP_essential_features_p2 || [12] EP.HYP_essential_features_p3 || [13] 6A72_essential_features_p2,,,,
Phase 1: Best Retriever-BM25-19,BM25,19,depression,suicidal,"Label: suicidal
Evidence: [4] (Depressive episode — Essential Features): ""The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or absence of symptoms should be made relative to typical functioning of the individual. Affective cluster • Depressed mood as reported by the individual (e.g. feeling down, sad) or as observed (e.g. tearful, defeated appearance) (Note: in children and adolescents depressed mood can manifest as irritability.)""
Justification: The post expresses suicidal ideation with a specific plan, which is consistent with the diagnostic criteria for a depressive episode. The text reflects a persistent sense of hopelessness and a desire for an immediate solution, which aligns with the essential features of a depressive episode as described in ICD-11.",[1] EP.HYP_essential_features_p1 || [2] EP.HYP_boundary_with_normality_p1 || [3] EP.DEP_boundary_with_normality_p2 || [4] EP.DEP_essential_features_p1 || [5] EP.DEP_essential_features_p2 || [6] EP.DEP_boundary_with_normality_p1 || [7] EP.HYP_essential_features_p2 || [8] EP.MAN_essential_features_p2 || [9] EP.MAN_boundary_with_normality_p1 || [10] 6A71_essential_features_p1 || [11] 6A73_essential_features_p1 || [12] 6A73_boundary_with_normality_p1,,,,
Phase 1: Best Retriever-BM25-20,BM25,20,normal,normal,"Label: normal
Evidence: 1 says: ""A person is considered to be at risk of suicide if they display a clear intent to end their own life and a clear plan to carry out that intent.""
Justification: The post does not contain any explicit mention of suicide, intent, or plan. Therefore, it does not meet the criteria for suicidal risk as per the ICD-11 chunk.",,,,,
Phase 1: Best Retriever-BM25-21,BM25,21,normal,depression,"Label: depression
Evidence: [2] (Depressive episode — Boundary with Normality) • Some depression of mood is a normal reaction to severe adverse life events and problems (e.g. divorce, job loss), and is common in the community. A depressive episode is differentiated from this common experience by the severity, range and duration of symptoms. If the diagnostic requirements for a depressive episode listed above are met, a depressive episode should still be considered present, even if there are identifiable life events that appear to have triggered the episode. 
Justification: The post mentions feeling down and having laid in bed for seven hours, which aligns with the criteria for a depressive episode as outlined in the ICD-11. The individual is experiencing a prolonged period of low mood and is not engaging in enjoyable activities, which is consistent with the boundary with normality criteria for depressive episodes.",[1] EP.DEP_essential_features_p2 || [2] EP.DEP_boundary_with_normality_p1 || [3] EP.DEP_essential_features_p1 || [4] EP.HYP_essential_features_p1 || [5] EP.HYP_boundary_with_normality_p1 || [6] EP.MAN_essential_features_p2 || [7] EP.MAN_boundary_with_normality_p1 || [8] EP.HYP_essential_features_p2 || [9] EP.MAN_essential_features_p1 || [10] 6A72_essential_features_p1 || [11] 6A72_boundary_with_normality_p1 || [12] 6A61_essential_features_p1 || [13] EP.DEP_boundary_with_normality_p2,,,,
Phase 1: Best Retriever-BM25-22,BM25,22,normal,normal,"Label: normal
Evidence: [5] (Depressive episode — Boundary with Normality) says: ""A prior history of depressive disorder or bipolar disorder is important to consider in making this distinction.""
Justification: The post mentions a desire to make a ""fa.."" (possibly a typo for ""a fan"" or ""a fake"" but unclear) and an afear of not taking care of it. This statement does not meet the criteria for a depressive episode as defined in the ICD-11, as it lacks the necessary symptoms of a depressive episode (e.g., persistent low mood, loss of interest, etc.). The post does not indicate a significant impairment in functioning or the presence of psychotic symptoms, suicidal ideation, or other depressive features. Therefore, it does not meet the diagnostic criteria for a depressive episode.",[1] EP.HYP_essential_features_p2 || [2] EP.HYP_boundary_with_normality_p1 || [3] EP.MAN_essential_features_p2 || [4] EP.MAN_boundary_with_normality_p1 || [5] EP.DEP_boundary_with_normality_p2 || [6] EP.DEP_essential_features_p1,,,,
